<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DATA,D,20220429,00:00:00,41.92,43.18,41.92,51.92,
DATA,D,20220504,00:00:00,43.1,44,41.84,53.1,
DATA,D,20220505,00:00:00,42.06,42.6,41.92,52.06,
DATA,D,20220506,00:00:00,42.3,42.4,41.62,52.3,
DATA,D,20220511,00:00:00,42.6,42.98,41.8,52.6,
DATA,D,20220512,00:00:00,42.2,42.38,40.2,52.2,
DATA,D,20220513,00:00:00,40.98,41.28,40.26,50.98,
DATA,D,20220516,00:00:00,41.04,41.94,40.9,51.04,
DATA,D,20220517,00:00:00,41.88,42.7,41.76,51.88,
DATA,D,20220518,00:00:00,42.74,44.04,42.72,52.74,
