<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DATA,D,20210628,00:00:00,65.74,65.8,65.4,75.74,
DATA,D,20210629,00:00:00,65.6,65.6,64.6,75.6,
DATA,D,20210630,00:00:00,64.96,65.68,64.74,74.96,
DATA,D,20210701,00:00:00,65.98,66.28,65.68,75.98,
DATA,D,20210702,00:00:00,66.44,66.7,66.16,76.44,
DATA,D,20210705,00:00:00,66.72,66.82,66.44,76.72,
DATA,D,20210706,00:00:00,67.04,67.48,66.78,77.04,
DATA,D,20210707,00:00:00,66.94,67.36,66.82,76.94,
DATA,D,20210708,00:00:00,67.22,67.22,66.24,77.22,
DATA,D,20210709,00:00:00,66.54,66.92,66.38,76.54,
DATA,D,20210712,00:00:00,66.76,67,66.48,76.76,
DATA,D,20210713,00:00:00,67.1,67.2,66.5,77.1,
DATA,D,20210714,00:00:00,67,67.08,66.6,77,
DATA,D,20210715,00:00:00,66.56,66.66,65.82,76.56,
DATA,D,20210716,00:00:00,66.06,66.32,65.22,76.06,
DATA,D,20210719,00:00:00,65.5,65.64,63.9,75.5,
DATA,D,20210720,00:00:00,64.42,64.86,64.12,74.42,
DATA,D,20210721,00:00:00,64.88,65.22,64.6,74.88,
DATA,D,20210722,00:00:00,65.3,65.54,65,75.3,
DATA,D,20210723,00:00:00,65.58,65.7,65,75.58,
DATA,D,20210726,00:00:00,65.2,65.46,64.74,75.2,
DATA,D,20210727,00:00:00,65.68,65.68,65.12,75.68,
DATA,D,20210728,00:00:00,65.2,65.6,65.12,75.2,
DATA,D,20210729,00:00:00,65.66,66.32,65.66,75.66,
DATA,D,20210730,00:00:00,66.28,66.28,65.54,76.28,
DATA,D,20210802,00:00:00,65.94,66.24,65.8,75.94,
DATA,D,20210803,00:00:00,65.94,66.14,65.8,75.94,
DATA,D,20210804,00:00:00,66.3,66.32,66.02,76.3,
DATA,D,20210805,00:00:00,66.06,66.54,66.06,76.06,
DATA,D,20210806,00:00:00,66.6,66.8,66.3,76.6,
DATA,D,20210809,00:00:00,66.38,66.7,65.9,76.38,
DATA,D,20210810,00:00:00,66.9,67.3,66.72,76.9,
DATA,D,20210811,00:00:00,67.26,67.66,67.26,77.26,
DATA,D,20210812,00:00:00,67.62,67.96,67.54,77.62,
DATA,D,20210813,00:00:00,67.78,67.86,67.42,77.78,
DATA,D,20210816,00:00:00,67.54,67.84,67.16,77.54,
DATA,D,20210817,00:00:00,67.9,68.7,67.82,77.9,
DATA,D,20210818,00:00:00,68.54,68.76,68.2,78.54,
DATA,D,20210819,00:00:00,67.94,67.94,66.88,77.94,
DATA,D,20210820,00:00:00,67.38,67.5,66.58,77.38,
DATA,D,20210823,00:00:00,66.92,67.72,66.92,76.92,
DATA,D,20210824,00:00:00,67.6,68.06,67.18,77.6,
DATA,D,20210825,00:00:00,67.8,67.96,67.4,77.8,
DATA,D,20210826,00:00:00,67.68,67.68,67.06,77.68,
DATA,D,20210827,00:00:00,67.18,67.66,66.84,77.18,
DATA,D,20210830,00:00:00,67.66,68.38,67.64,77.66,
DATA,D,20210831,00:00:00,68.3,68.6,68,78.3,
DATA,D,20210901,00:00:00,68.32,69,68.06,78.32,
DATA,D,20210902,00:00:00,69.46,69.58,68.98,79.46,
DATA,D,20210903,00:00:00,69.32,69.6,68.98,79.32,
DATA,D,20210906,00:00:00,69.86,70.24,69.64,79.86,
DATA,D,20210907,00:00:00,70.22,70.48,69.8,80.22,
DATA,D,20210908,00:00:00,70.02,70.3,69.58,80.02,
DATA,D,20210909,00:00:00,70.28,70.28,69.54,80.28,
DATA,D,20210910,00:00:00,69.4,69.96,69.02,79.4,
DATA,D,20210913,00:00:00,69.86,70.52,69.76,79.86,
DATA,D,20210914,00:00:00,70.62,70.94,70.56,80.62,
DATA,D,20210915,00:00:00,70.78,71.28,70.74,80.78,
DATA,D,20210916,00:00:00,71.16,71.2,70.26,81.16,
DATA,D,20210917,00:00:00,70.52,70.7,69.96,80.52,
DATA,D,20210920,00:00:00,70.2,70.36,68.98,80.2,
DATA,D,20210921,00:00:00,69.08,69.68,69.04,79.08,
DATA,D,20210922,00:00:00,69.44,70.36,69.4,79.44,
DATA,D,20210923,00:00:00,70.42,70.8,70.16,80.42,
DATA,D,20210924,00:00:00,70.7,70.78,70.2,80.7,
DATA,D,20210927,00:00:00,70.7,71.3,70.5,80.7,
DATA,D,20210928,00:00:00,71.48,71.74,70.74,81.48,
DATA,D,20210929,00:00:00,70.74,71.14,70.38,80.74,
DATA,D,20210930,00:00:00,70.94,71.48,70.86,80.94,
DATA,D,20211001,00:00:00,71.42,71.52,70.9,81.42,
DATA,D,20211004,00:00:00,71.68,72,71.42,81.68,
DATA,D,20211005,00:00:00,72,73.56,71.82,82,
DATA,D,20211006,00:00:00,73.88,74.44,72.6,83.88,
